cellular root,domain,clade,kingdom,subkingdom,phylum,subphylum,class,no rank,order,family,genus,species,input_species,names_match,subclass,suborder,subfamily,species group,tribe,infraclass,cohort,infraorder,superfamily
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Bolbitiaceae,Bolbitius,Bolbitius vitellinus,Bolbitius vitellinus SZMC-NL-1974 v1.0,Yes,Agaricomycetidae,Agaricineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Boletales,Boletaceae,Boletus,Boletus coccyginus,Boletus coccyginus 2016PMI039 v1.0,Yes,Agaricomycetidae,Boletineae,Boletoideae,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Boletales,Boletaceae,Boletus,Boletus edulis,Boletus edulis BED1 v4.0,Yes,Agaricomycetidae,Boletineae,Boletoideae,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Boletales,Boletaceae,Boletus,Boletus edulis,Boletus edulis Přilba v1.0,Yes,Agaricomycetidae,Boletineae,Boletoideae,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Boletales,Boletaceae,Boletus,Boletus reticuloceps,Boletus reticuloceps BR01,Yes,Agaricomycetidae,Boletineae,Boletoideae,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetes incertae sedis,Gloeophyllales,Gloeophyllaceae,Boreostereum,Boreostereum radiatum,Boreostereum radiatum TFC1981-005 v1.0,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetes incertae sedis,Cantharellales,Botryobasidiaceae,Botryobasidium,Botryobasidium botryosum,Botryobasidium botryosum v1.0,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Boletales,Boletaceae,Butyriboletus,Butyriboletus roseoflavus,Butyriboletus roseoflavus v1.0,Yes,Agaricomycetidae,Boletineae,Boletoideae,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Dacrymycetes,,Dacrymycetales,Dacrymycetaceae,Calocera,Calocera cornea,Calocera cornea v1.0,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Dacrymycetes,,Dacrymycetales,Dacrymycetaceae,Calocera,Calocera viscosa,Calocera viscosa v1.0,Yes,,,,,,,,,
